"Dataset File","Collected","Variable","Label","Description"
"Form 190 - COVID-19 Survey 1","Ext2","ID","WHI Participant Common ID",""
"Form 190 - COVID-19 Survey 1","Ext2","F190CONT","Contact Type",""
"Form 190 - COVID-19 Survey 1","Ext2","F190VER","Version of Form (REDCap or Paper)",""
"Form 190 - COVID-19 Survey 1","Ext2","F190DAYS","F190 Days since randomization or enrollment",""
"Form 190 - COVID-19 Survey 1","Ext2","COMPLETEDBY","Form 190 completed by","Who is completing this form?"
"Form 190 - COVID-19 Survey 1","Ext2","WELLBEING","Current level of well-being","Please think about your current level of well-being. When you think about well-being, think about your physical health, your emotional health, any challenges you are experiencing, the people in your life, and the opportunities or resources you have available to you. How would you describe your current level of well-being?"
"Form 190 - COVID-19 Survey 1","Ext2","LIVINGCHNG","Living arrangement changed since March 2020 due to the COVID-19 pandemic","Has your living arrangement, including the place where you live and the people that live with you, changed since March 2020 due to the COVID-19 pandemic?"
"Form 190 - COVID-19 Survey 1","Ext2","MOVETOFAM","Moved in with other family","Living arrangement: What has changed? Mark all that apply. I moved to live with other family members or friends."
"Form 190 - COVID-19 Survey 1","Ext2","FAMMOVEIN","Others moved in with me","Living arrangement: What has changed? Mark all that apply. Other family or friends moved in with me."
"Form 190 - COVID-19 Survey 1","Ext2","SOMEMOVEOUT","Household members moved away","Living arrangement: What has changed? Mark all that apply. Some household members moved away to limit the possibility of infection."
"Form 190 - COVID-19 Survey 1","Ext2","MOVEOUTSHARED","Moved out of shared housing","Living arrangement: What has changed? Mark all that apply. I moved out of shared housing to limit the possibility of infection."
"Form 190 - COVID-19 Survey 1","Ext2","CAREPROVCOMES","Care provider comes to help","Living arrangement: What has changed? Mark all that apply. A care provider/companion now comes to help me."
"Form 190 - COVID-19 Survey 1","Ext2","CARENOCOME","Care provider no longer comes","Living arrangement: What has changed? Mark all that apply. My care provider/companion no longer comes to help me."
"Form 190 - COVID-19 Survey 1","Ext2","MOVETOFAC","Moved into care facility","Living arrangement: What has changed? Mark all that apply. I have moved into a care facility."
"Form 190 - COVID-19 Survey 1","Ext2","MOVEOUTFAC","Moved out of care facility","Living arrangement: What has changed? Mark all that apply. I have moved out of a care facility."
"Form 190 - COVID-19 Survey 1","Ext2","LIVINGCHNGOTH","Other changes to living arrangement","Living arrangement: What has changed? Mark all that apply. Other."
"Form 190 - COVID-19 Survey 1","Ext2","HOUSEHOLDN","How many people live in same household with you","Including yourself, how many people live in the same household with you?"
"Form 190 - COVID-19 Survey 1","Ext2","PRIVATEHOME","Live in private home","Are any of the services and/or restrictions below part of where you currently live as a result of the COVID-19 pandemic? Mark all that apply. Does not apply. I live in a private home."
"Form 190 - COVID-19 Survey 1","Ext2","NOLEAVE","Residents not allowed to leave home","Are any of the services and/or restrictions below part of where you currently live as a result of the COVID-19 pandemic? Mark all that apply. Residents are not allowed to leave their home/apartment/room."
"Form 190 - COVID-19 Survey 1","Ext2","NOVISITORS","Residents not allowed visitors","Are any of the services and/or restrictions below part of where you currently live as a result of the COVID-19 pandemic? Mark all that apply. Residents are not allowed to have visitors."
"Form 190 - COVID-19 Survey 1","Ext2","NOLVEXCEPTEMERG","Residents not allowed to leave except for emergencies","Are any of the services and/or restrictions below part of where you currently live as a result of the COVID-19 pandemic? Mark all that apply. Residents are not allowed to leave the property except for emergencies."
"Form 190 - COVID-19 Survey 1","Ext2","FOODDELIV","Food is delivered to home","Are any of the services and/or restrictions below part of where you currently live as a result of the COVID-19 pandemic? Mark all that apply. Food is delivered to the home/apartment/room."
"Form 190 - COVID-19 Survey 1","Ext2","NORESTRICT","No restrictions on residents","Are any of the services and/or restrictions below part of where you currently live as a result of the COVID-19 pandemic? Mark all that apply. There are no restrictions on residents."
"Form 190 - COVID-19 Survey 1","Ext2","FAMASSISTLIVING","Have family living in care facility","Do you have any close family members living in an assisted living, skilled nursing, or nursing home?"
"Form 190 - COVID-19 Survey 1","Ext2","VISITFAM","Able to visit family in care facility","Are you able to visit them in their care facility?"
"Form 190 - COVID-19 Survey 1","Ext2","C19EXPOSED","Ever been exposed to someone with COVID-19","To your knowledge, have you EVER been exposed to another person who has been diagnosed with, or suspected of having, COVID-19 infection?"
"Form 190 - COVID-19 Survey 1","Ext2","C19DTHFAMFR","Has family member or friend died from COVID-19","Has anyone in your family or a close friend died from COVID-19?"
"Form 190 - COVID-19 Survey 1","Ext2","FEVER","Fever for longer than several hours or more, since March 2020","Below is a list of symptoms that may be related to COVID-19. Some of these may also occur with other conditions such as allergies, colds and flu or when taking certain medications. Please indicate if you have experienced any of these symptoms for longer than several hours or more than is usual for you, since March 2020. Mark all that apply. Fever."
"Form 190 - COVID-19 Survey 1","Ext2","COUGH","Persistent cough for longer than several hours or more, since March 2020","Below is a list of symptoms that may be related to COVID-19. Some of these may also occur with other conditions such as allergies, colds and flu or when taking certain medications. Please indicate if you have experienced any of these symptoms for longer than several hours or more than is usual for you, since March 2020. Mark all that apply. Persistent cough."
"Form 190 - COVID-19 Survey 1","Ext2","CHILLSSWEATS","Chills or sweats for longer than several hours or more, since March 2020","Below is a list of symptoms that may be related to COVID-19. Some of these may also occur with other conditions such as allergies, colds and flu or when taking certain medications. Please indicate if you have experienced any of these symptoms for longer than several hours or more than is usual for you, since March 2020. Mark all that apply. Chills or sweats."
"Form 190 - COVID-19 Survey 1","Ext2","HEADACHE","Headache for longer than several hours or more, since March 2020","Below is a list of symptoms that may be related to COVID-19. Some of these may also occur with other conditions such as allergies, colds and flu or when taking certain medications. Please indicate if you have experienced any of these symptoms for longer than several hours or more than is usual for you, since March 2020. Mark all that apply. Headache."
"Form 190 - COVID-19 Survey 1","Ext2","SORETHROAT","Sore throat for longer than several hours or more, since March 2020","Below is a list of symptoms that may be related to COVID-19. Some of these may also occur with other conditions such as allergies, colds and flu or when taking certain medications. Please indicate if you have experienced any of these symptoms for longer than several hours or more than is usual for you, since March 2020. Mark all that apply. Sore throat."
"Form 190 - COVID-19 Survey 1","Ext2","HOARSE","Unusually hoarse for longer than several hours or more, since March 2020","Below is a list of symptoms that may be related to COVID-19. Some of these may also occur with other conditions such as allergies, colds and flu or when taking certain medications. Please indicate if you have experienced any of these symptoms for longer than several hours or more than is usual for you, since March 2020. Mark all that apply. Unusually hoarse."
"Form 190 - COVID-19 Survey 1","Ext2","LOSSSMELL","Loss of smell for longer than several hours or more, since March 2020","Below is a list of symptoms that may be related to COVID-19. Some of these may also occur with other conditions such as allergies, colds and flu or when taking certain medications. Please indicate if you have experienced any of these symptoms for longer than several hours or more than is usual for you, since March 2020. Mark all that apply. Loss of smell."
"Form 190 - COVID-19 Survey 1","Ext2","LOSSTASTE","Loss of taste for longer than several hours or more, since March 2020","Below is a list of symptoms that may be related to COVID-19. Some of these may also occur with other conditions such as allergies, colds and flu or when taking certain medications. Please indicate if you have experienced any of these symptoms for longer than several hours or more than is usual for you, since March 2020. Mark all that apply. Loss of taste."
"Form 190 - COVID-19 Survey 1","Ext2","CHESTPAIN","Chest pain/tightness for longer than several hours or more, since March 2020","Below is a list of symptoms that may be related to COVID-19. Some of these may also occur with other conditions such as allergies, colds and flu or when taking certain medications. Please indicate if you have experienced any of these symptoms for longer than several hours or more than is usual for you, since March 2020. Mark all that apply. Chest pain/tightness."
"Form 190 - COVID-19 Survey 1","Ext2","MUSCLEACHES","Muscle aches for longer than several hours or more, since March 2020","Below is a list of symptoms that may be related to COVID-19. Some of these may also occur with other conditions such as allergies, colds and flu or when taking certain medications. Please indicate if you have experienced any of these symptoms for longer than several hours or more than is usual for you, since March 2020. Mark all that apply. Muscle aches."
"Form 190 - COVID-19 Survey 1","Ext2","ABDOMPAIN","Abdominal pain for longer than several hours or more, since March 2020","Below is a list of symptoms that may be related to COVID-19. Some of these may also occur with other conditions such as allergies, colds and flu or when taking certain medications. Please indicate if you have experienced any of these symptoms for longer than several hours or more than is usual for you, since March 2020. Mark all that apply. Abdominal pain."
"Form 190 - COVID-19 Survey 1","Ext2","DIARRHEA","Diarrhea for longer than several hours or more, since March 2020","Below is a list of symptoms that may be related to COVID-19. Some of these may also occur with other conditions such as allergies, colds and flu or when taking certain medications. Please indicate if you have experienced any of these symptoms for longer than several hours or more than is usual for you, since March 2020. Mark all that apply. Diarrhea."
"Form 190 - COVID-19 Survey 1","Ext2","CONFUSION","Confusion for longer than several hours or more, since March 2020","Below is a list of symptoms that may be related to COVID-19. Some of these may also occur with other conditions such as allergies, colds and flu or when taking certain medications. Please indicate if you have experienced any of these symptoms for longer than several hours or more than is usual for you, since March 2020. Mark all that apply. Confusion."
"Form 190 - COVID-19 Survey 1","Ext2","MALAISE","Malaise for longer than several hours or more, since March 2020","Below is a list of symptoms that may be related to COVID-19. Some of these may also occur with other conditions such as allergies, colds and flu or when taking certain medications. Please indicate if you have experienced any of these symptoms for longer than several hours or more than is usual for you, since March 2020. Mark all that apply. Malaise-a general feeling of illness, discomfort, uneasiness."
"Form 190 - COVID-19 Survey 1","Ext2","FATIGUE","Unusual fatigue for longer than several hours or more, since March 2020","Below is a list of symptoms that may be related to COVID-19. Some of these may also occur with other conditions such as allergies, colds and flu or when taking certain medications. Please indicate if you have experienced any of these symptoms for longer than several hours or more than is usual for you, since March 2020. Mark all that apply. Unusual fatigue."
"Form 190 - COVID-19 Survey 1","Ext2","FATIGUESEVERITY","Severity of fatigue","Unusual fatigue: How severe was this symptom?"
"Form 190 - COVID-19 Survey 1","Ext2","SHORTBREATH","Unusual shortness of breath or difficulty breathing for longer than several hours or more, since March 2020","Below is a list of symptoms that may be related to COVID-19. Some of these may also occur with other conditions such as allergies, colds and flu or when taking certain medications. Please indicate if you have experienced any of these symptoms for longer than several hours or more than is usual for you, since March 2020. Mark all that apply. Unusual shortness of breath or difficulty breathing."
"Form 190 - COVID-19 Survey 1","Ext2","SHORTBREATHSEV","Severity of shortness of breath","Unusual shortness of breath or difficulty breathing: How severe was this symptom?"
"Form 190 - COVID-19 Survey 1","Ext2","C19STATEMENT","The following statement applies","Which of the following statements apply to you?"
"Form 190 - COVID-19 Survey 1","Ext2","C19TEST","Tested for COVID-19","Have you been tested for COVID-19?"
"Form 190 - COVID-19 Survey 1","Ext2","C19NASAL","Nasal swab test","What kind of test(s) did you have? Mark all that apply. Nasal swab (testing for presence of the virus)."
"Form 190 - COVID-19 Survey 1","Ext2","C19THROAT","Throat swab test","What kind of test(s) did you have? Mark all that apply. Throat swab (testing for presence of the virus)."
"Form 190 - COVID-19 Survey 1","Ext2","C19SALIVA","Saliva test","What kind of test(s) did you have? Mark all that apply. Saliva test (testing for presence of the virus)."
"Form 190 - COVID-19 Survey 1","Ext2","C19BLOOD","Blood test","What kind of test(s) did you have? Mark all that apply. Blood test (testing for antibodies/immune response)."
"Form 190 - COVID-19 Survey 1","Ext2","C19TESTN","Number of times tested for COVID-19","How many times have you been tested?"
"Form 190 - COVID-19 Survey 1","Ext2","C19POS","Tested positive for COVID-19","Did any of these tests come back positive for a COVID-19 infection?"
"Form 190 - COVID-19 Survey 1","Ext2","NASALPOS","Positive nasal swab test","Which test(s) came back positive?"
"Form 190 - COVID-19 Survey 1","Ext2","SALIVAPOS","Positive saliva test","Which test(s) came back positive?"
"Form 190 - COVID-19 Survey 1","Ext2","THROATPOS","Positive throat swab test","Which test(s) came back positive?"
"Form 190 - COVID-19 Survey 1","Ext2","BLOODPOS","Positive blood test","Which test(s) came back positive?"
"Form 190 - COVID-19 Survey 1","Ext2","C19HOSP","Ever hospitalized for COVID-19","Were you ever hospitalized for COVID-19?"
"Form 190 - COVID-19 Survey 1","Ext2","C19HOSPNIGHTS","Number of nights in hospital for COVID-19","How many nights did you stay in the hospital?"
"Form 190 - COVID-19 Survey 1","Ext2","INTRAFLUIDS","Received treatment of intravenous fluids","What treatments did you receive? Mark all that apply. Intravenous fluids."
"Form 190 - COVID-19 Survey 1","Ext2","OXYGEN","Received treatment of oxygen, not requiring a ventilator","What treatments did you receive? Mark all that apply. Oxygen through nasal (nose) prongs or facial mask, but not requiring a ventilator."
"Form 190 - COVID-19 Survey 1","Ext2","VENTILATOR","Received ventilator treatment","What treatments did you receive? Mark all that apply. Invasive ventilation or ventilator (Breathing support through an inserted tube. People are usually asleep for this procedure.)"
"Form 190 - COVID-19 Survey 1","Ext2","KIDNEYDIALYSIS","Received treatment of kidney dialysis","What treatments did you receive? Mark all that apply. Kidney dialysis."
"Form 190 - COVID-19 Survey 1","Ext2","CARDIACPROC","Received treatment of cardiac or heart procedure","What treatments did you receive? Mark all that apply. Cardiac or heart procedure, such as a coronary artery stent."
"Form 190 - COVID-19 Survey 1","Ext2","C19TRTMNTOTH","Received other treatment","What treatments did you receive? Mark all that apply. Other."
"Form 190 - COVID-19 Survey 1","Ext2","ICU","Received treatment in ICU","Did you require treatment in an Intensive Care Unit (ICU)?"
"Form 190 - COVID-19 Survey 1","Ext2","ICUDAYS","Number of days in ICU","ICU: How many days?"
"Form 190 - COVID-19 Survey 1","Ext2","REMDESIVIR","Given remdesivir to treat COVID-19","Were you given any of the following medications to treat COVID-19? Mark all that apply. Remdesivir."
"Form 190 - COVID-19 Survey 1","Ext2","HYDROXYCHLOROQUINE","Given hydroxychloroquine to treat COVID-19","Were you given any of the following medications to treat COVID-19? Mark all that apply. Hydroxychloroquine or chloroquine."
"Form 190 - COVID-19 Survey 1","Ext2","AZITHROMYCIN","Given azithromycin to treat COVID-19","Were you given any of the following medications to treat COVID-19? Mark all that apply. Azithromycin."
"Form 190 - COVID-19 Survey 1","Ext2","NONC19MEDS","Currently taking prescription medications not related to COVID-19","Are you currently taking any prescription medications not related to COVID-19?"
"Form 190 - COVID-19 Survey 1","Ext2","HIBPMED","Currently taking medications for high blood pressure","Are you taking prescription medications for any of the following conditions? Mark all that apply. High blood pressure."
"Form 190 - COVID-19 Survey 1","Ext2","BETABLOCK","High blood pressure medication - beta blockers","High blood pressure medications: Beta-Blockers (Examples: Atenolol, Metoprolol, Carvedilol)"
"Form 190 - COVID-19 Survey 1","Ext2","CALCCHANBLOCK","High blood pressure medication - calcium channel blockers","High blood pressure medications: Calcium channel blockers (Examples: Amlodipine, Diltiazem)"
"Form 190 - COVID-19 Survey 1","Ext2","THIAZDIUR","High blood pressure medication - thiazide diuretics","High blood pressure medications: Thiazide Diuretics (Examples: Hydrochlorothiazide, Chlorthalidone, Moduretic, Dyazide, Indapamide)"
"Form 190 - COVID-19 Survey 1","Ext2","LOOPDIUR","High blood pressure medication - loop diuretics","High blood pressure medications: Loop Diuretics (Examples: Furosemide, Lasix, Torsemide, Bumex, Ethacrynic acid)"
"Form 190 - COVID-19 Survey 1","Ext2","ACEINHIB","High blood pressure medication - ACE-inhibitors","High blood pressure medications: ACE-Inhibitors (Examples: Lisinopril, Enalapril, Ramipril, Captopril, Benazepril)"
"Form 190 - COVID-19 Survey 1","Ext2","ANGIOTENSIN","High blood pressure medication - angiotensin receptor blockers","High blood pressure medications: Angiotensin receptor blockers (Examples: Valsartan, Irbesartan, Entresto, Losartan, Candesartan, Olmesartan)"
"Form 190 - COVID-19 Survey 1","Ext2","ALDOSTERONE","High blood pressure medication - aldosterone receptor blockers","High blood pressure medications: Aldosterone Receptor Blockers Examples: Spironolactone, Eplerenone)"
"Form 190 - COVID-19 Survey 1","Ext2","ALPHABLOCK","High blood pressure medication - alpha-blockers","High blood pressure medications: Alph-Blockers (Examples: Terazosin, Doxazosin)"
"Form 190 - COVID-19 Survey 1","Ext2","HIBPMEDOTH","High blood pressure medication - other prescriptions","High blood pressure medications: Other"
"Form 190 - COVID-19 Survey 1","Ext2","DIABMED","Currently taking medications for diabetes","Are you taking medications for any of the following conditions? Mark all that apply. Diabetes."
"Form 190 - COVID-19 Survey 1","Ext2","INSULIN","Diabetes medication - insulin injections","Diabetes medications: Insulin injections."
"Form 190 - COVID-19 Survey 1","Ext2","SGLT2INHIB","Diabetes medication - SGLT2 inhibitors","Diabetes medications: SGLT2 Inhibitors (Jardiance, Invokana, Dapagliflozin)"
"Form 190 - COVID-19 Survey 1","Ext2","GLUCOPHAGE","Diabetes medication - glucophage","Diabetes medications: Glucophage (Metformin)"
"Form 190 - COVID-19 Survey 1","Ext2","NONINSULIN","Diabetes medication - non-insulin injections","Diabetes medications: Non-Insulin Injections or GLP1 Agonists (Examples: Exenatide, Byetta, Ozempic, Victoza, Trulicity)"
"Form 190 - COVID-19 Survey 1","Ext2","SULFONYLUREA","Diabetes medication - sulfonylurea","Diabetes medications: Sulfonylurea (Examples: Glucotrol (Glipizide), Glimepiride, Chlorpropamide)"
"Form 190 - COVID-19 Survey 1","Ext2","DIABORALOTH","Diabetes medication - other oral medications","Diabetes medications: Other oral medications (Examples: Avandia, Prandin, Januvia, Starlix, Actos)"
"Form 190 - COVID-19 Survey 1","Ext2","DIABMEDOTH","Diabetes medication - other prescriptions","Diabetes medications: Other diabetes medication(s)"
"Form 190 - COVID-19 Survey 1","Ext2","CANCERMED","Currently taking medications for cancer","Are you taking prescription medications for any of the following conditions? Mark all that apply. Cancer."
"Form 190 - COVID-19 Survey 1","Ext2","AUTOIMMED","Currently taking medications for autoimmune diseases","Are you taking prescription medications for any of the following conditions? Mark all that apply. Autoimmune diseases (lupus, rheumatoid arthritis, Crohn's disease)."
"Form 190 - COVID-19 Survey 1","Ext2","MEDSOTH","Currently taking medications for other conditions","Are you taking prescription medications for any of the following conditions? Mark all that apply. Other conditions."
"Form 190 - COVID-19 Survey 1","Ext2","GETRX","How do you get prescriptions","How do you get your prescription medications now?"
"Form 190 - COVID-19 Survey 1","Ext2","GETRXCHNG","Has way of getting prescription meds changed since March 2020","Has the way you get your prescription medications changed since March 2020?"
"Form 190 - COVID-19 Survey 1","Ext2","OTCPAINMED","Routinely take over the counter pain/anti-inflammatory medications","Do you take any over-the-counter pain/anti-inflammatory medications on a routine basis (at least 3 days per week)?"
"Form 190 - COVID-19 Survey 1","Ext2","ASPIRIN","Regularly take aspirin","Over the counter pain/anti-inflammatory medications: Which of the following do you take regularly? Aspirin (Examples: Bayer, Bufferin)."
"Form 190 - COVID-19 Survey 1","Ext2","IBUPROFEN","Regularly take ibuprofen","Over the counter pain/anti-inflammatory medications: Which of the following do you take regularly? Ibuprofen (Examples: Motrin, Advil)."
"Form 190 - COVID-19 Survey 1","Ext2","ACETAMINOPHEN","Regularly take acetaminophen","Over the counter pain/anti-inflammatory medications: Which of the following do you take regularly? Acetaminophen (Example: Tylenol)."
"Form 190 - COVID-19 Survey 1","Ext2","NAPROXEN","Regularly take naproxen","Over the counter pain/anti-inflammatory medications: Which of the following do you take regularly? Naproxen (Example: Aleve)."
"Form 190 - COVID-19 Survey 1","Ext2","OTCPAINMEDOTH","Routinely take other over the counter pain/anti-inflammatory medications","Over the counter pain/anti-inflammatory medications: Which of the following do you take regularly? Other."
"Form 190 - COVID-19 Survey 1","Ext2","RXFILLDELAY","Delays getting prescriptions filled","Are you experiencing any new difficulties in taking medication(s) since the COVID-19 pandemic started? Mark all that apply. Delays in getting prescripts filled/refilled."
"Form 190 - COVID-19 Survey 1","Ext2","RXTAKEDELAY","Delaying or not taking medications","Are you experiencing any new difficulties in taking medication(s) since the COVID-19 pandemic started? Mark all that apply. Delaying or not taking medication."
"Form 190 - COVID-19 Survey 1","Ext2","NOMEDHELP","No longer have someone to help me take medications","Are you experiencing any new difficulties in taking medication(s) since the COVID-19 pandemic started? Mark all that apply. No longer having someone to help me take my medications."
"Form 190 - COVID-19 Survey 1","Ext2","DIFFPAYMED","Having difficulty paying for medications","Are you experiencing any new difficulties in taking medication(s) since the COVID-19 pandemic started? Mark all that apply. Paying for medications."
"Form 190 - COVID-19 Survey 1","Ext2","DIFFMEDOTH","Having other difficulties with taking medications","Are you experiencing any new difficulties in taking medication(s) since the COVID-19 pandemic started? Mark all that apply. Other."
"Form 190 - COVID-19 Survey 1","Ext2","HLTHAPPTS","Had health care appointments scheduled from March 2020 till now","From March 2020 until now, did you have any health care appointments scheduled?"
"Form 190 - COVID-19 Survey 1","Ext2","APPTCANC","Health care appointment cancelled","Did your health care provider cancel, reschedule or convert your appointment to a telephone or online/video visit (telehealth)? Mark all that apply. Yes, at least one was cancelled."
"Form 190 - COVID-19 Survey 1","Ext2","APPTRESCH","Health care appointment rescheduled","Did your health care provider cancel, reschedule or convert your appointment to a telephone or online/video visit (telehealth)? Mark all that apply. Yes, at least one was rescheduled."
"Form 190 - COVID-19 Survey 1","Ext2","APPTPHONE","Health care appointment converted to telephone or online","Did your health care provider cancel, reschedule or convert your appointment to a telephone or online/video visit (telehealth)? Mark all that apply. Yes, at least one was converted to telephone or online/video visit."
"Form 190 - COVID-19 Survey 1","Ext2","APPTNOCHNG","No health care appointments changed","Did your health care provider cancel, reschedule or convert your appointment to a telephone or online/video visit (telehealth)? Mark all that apply. None of them changed."
"Form 190 - COVID-19 Survey 1","Ext2","AVOIDEDDR","Decided not to go to doctor or hospital to avoid COVID-19 exposure","Have you decided not to go to the doctor or hospital when you normally would have gone, to avoid the potential of being exposed to COVID-19?"
"Form 190 - COVID-19 Survey 1","Ext2","DIFFGETCARE","How much difficulty getting routine care since March 2020","In general, how much difficulty have you had getting routine medical care since March 2020?"
"Form 190 - COVID-19 Survey 1","Ext2","PANDEMICCONC","How concerned about the COVID-19 pandemic","In general, how concerned are you about the COVID-19 pandemic?"
"Form 190 - COVID-19 Survey 1","Ext2","CONCC19RISK","Pandemic causing concerns about risk of getting COVID-19 infection","Is the COVID-19 pandemic causing you concerns about any of the following? Mark all that apply. My risk of getting a COVID-19 infection."
"Form 190 - COVID-19 Survey 1","Ext2","CONCC19RISKFAM","Pandemic causing concerns about family getting COVID-19 infection","Is the COVID-19 pandemic causing you concerns about any of the following? Mark all that apply. The risk of family members or friends getting a COVID-19 infection."
"Form 190 - COVID-19 Survey 1","Ext2","CONCGETHLTHCARE","Pandemic causing concerns about getting healthcare","Is the COVID-19 pandemic causing you concerns about any of the following? Mark all that apply. Getting the health care that I need."
"Form 190 - COVID-19 Survey 1","Ext2","CONCGETFOOD","Pandemic causing concerns about getting adequate food","Is the COVID-19 pandemic causing you concerns about any of the following? Mark all that apply. Getting adequate food."
"Form 190 - COVID-19 Survey 1","Ext2","CONCGETEXER","Pandemic causing concerns about getting enough exercise","Is the COVID-19 pandemic causing you concerns about any of the following? Mark all that apply. Getting enough exercise/physical activity."
"Form 190 - COVID-19 Survey 1","Ext2","CONCGETSLEEP","Pandemic causing concerns about getting enough sleep","Is the COVID-19 pandemic causing you concerns about any of the following? Mark all that apply. Getting the sleep/rest I need."
"Form 190 - COVID-19 Survey 1","Ext2","CONCHOUSING","Pandemic causing concerns about adequate housing","Is the COVID-19 pandemic causing you concerns about any of the following? Mark all that apply. Having adequate housing."
"Form 190 - COVID-19 Survey 1","Ext2","CONCMONEY","Pandemic causing concerns about having enough money","Is the COVID-19 pandemic causing you concerns about any of the following? Mark all that apply. Having enough money to cover my needs."
"Form 190 - COVID-19 Survey 1","Ext2","CONCSAFETY","Pandemic causing concerns about personal safety","Is the COVID-19 pandemic causing you concerns about any of the following? Mark all that apply. My personal safety."
"Form 190 - COVID-19 Survey 1","Ext2","CONCSAFETYFAM","Pandemic causing concerns about health/safety of family/friends","Is the COVID-19 pandemic causing you concerns about any of the following? Mark all that apply. The health and safety of my family and friends."
"Form 190 - COVID-19 Survey 1","Ext2","CONCFINANC","Pandemic causing concerns about financial security","Is the COVID-19 pandemic causing you concerns about any of the following? Mark all that apply. My financial security."
"Form 190 - COVID-19 Survey 1","Ext2","CONCFINANCFAM","Pandemic causing concerns about financial security of family","Is the COVID-19 pandemic causing you concerns about any of the following? Mark all that apply. The financial security of my family."
"Form 190 - COVID-19 Survey 1","Ext2","CONCBEWITHFAM","Pandemic causing concerns about ability to be with family/friends","Is the COVID-19 pandemic causing you concerns about any of the following? Mark all that apply. My ability to be with friends and family."
"Form 190 - COVID-19 Survey 1","Ext2","CONCNATIONECON","Pandemic causing concerns about the nation and economy","Is the COVID-19 pandemic causing you concerns about any of the following? Mark all that apply. The nation and the economy more generally."
"Form 190 - COVID-19 Survey 1","Ext2","FELTFEARFUL","In the past 7 days, felt fearful","How often would the following statements apply to you in the past 7 days... I felt fearful"
"Form 190 - COVID-19 Survey 1","Ext2","HARDTOFOCUS","In the past 7 days, found it hard to focus","How often would the following statements apply to you in the past 7 days... I found it hard to focus on anything other than my anxiety"
"Form 190 - COVID-19 Survey 1","Ext2","WORRYOVWHELM","In the past 7 days, my worries overwhelmed me","How often would the following statements apply to you in the past 7 days... My worries overwhelmed me"
"Form 190 - COVID-19 Survey 1","Ext2","FELTUNEASY","In the past 7 days, felt uneasy","How often would the following statements apply to you in the past 7 days... I felt uneasy"
"Form 190 - COVID-19 Survey 1","Ext2","NOCONTROL","In past 4 weeks, felt unable to control things in life","In the past 4 weeks how often have you felt... That you were unable to control the important things in your life?"
"Form 190 - COVID-19 Survey 1","Ext2","CONFIDENT","In the past 4 weeks, felt confident about handling problems","In the past 4 weeks how often have you felt... confident about your ability to handle your personal problems?"
"Form 190 - COVID-19 Survey 1","Ext2","GOINGYOURWAY","In past 4 weeks, felt things were going your way","In the past 4 weeks how often have you felt... That things were going your way?"
"Form 190 - COVID-19 Survey 1","Ext2","DIFFPILING","In past 4 weeks, felt difficulties piling up","In the past 4 weeks how often have you felt... That difficulties were piling up so high that you could not overcome them?"
"Form 190 - COVID-19 Survey 1","Ext2","WASHHANDS","Since March 2020, steps taken to reduce COVID-19 risk - washing hands frequently","Since March 2020, what steps have you taken to reduce your risk of being infected by COVID-19? Mark all that apply. Washing hands frequently."
"Form 190 - COVID-19 Survey 1","Ext2","NOTTOUCHFACE","Since March 2020, steps taken to reduce COVID-19 risk - not touching face","Since March 2020, what steps have you taken to reduce your risk of being infected by COVID-19? Mark all that apply. Trying not to touch my face."
"Form 190 - COVID-19 Survey 1","Ext2","DISINFECT","Since March 2020, steps taken to reduce COVID-19 risk - disinfecting surfaces frequently","Since March 2020, what steps have you taken to reduce your risk of being infected by COVID-19? Mark all that apply. Disinfecting surfaces frequently."
"Form 190 - COVID-19 Survey 1","Ext2","DISTANCING","Since March 2020, steps taken to reduce COVID-19 risk - physical distancing","Since March 2020, what steps have you taken to reduce your risk of being infected by COVID-19? Mark all that apply. Maintaining a physical distance from people outside my household."
"Form 190 - COVID-19 Survey 1","Ext2","MASKING","Since March 2020, steps taken to reduce COVID-19 risk - wearing mask in public","Since March 2020, what steps have you taken to reduce your risk of being infected by COVID-19? Mark all that apply. Wearing a face mask in public."
"Form 190 - COVID-19 Survey 1","Ext2","GLOVES","Since March 2020, steps taken to reduce COVID-19 risk - wearing gloves in public","Since March 2020, what steps have you taken to reduce your risk of being infected by COVID-19? Mark all that apply. Wearing gloves in public"
"Form 190 - COVID-19 Survey 1","Ext2","NOINPERSONACT","Since March 2020, steps taken to reduce COVID-19 risk - avoiding in-person activities","Since March 2020, what steps have you taken to reduce your risk of being infected by COVID-19? Mark all that apply. Avoiding in-person social or religious activities."
"Form 190 - COVID-19 Survey 1","Ext2","NOINPERSONSHOP","Since March 2020, steps taken to reduce COVID-19 risk - avoiding or limiting in-person shopping","Since March 2020, what steps have you taken to reduce your risk of being infected by COVID-19? Mark all that apply. Avoiding or limiting in-person shopping."
"Form 190 - COVID-19 Survey 1","Ext2","NOHANDSHAKE","Since March 2020, steps taken to reduce COVID-19 risk - avoiding shaking hands","Since March 2020, what steps have you taken to reduce your risk of being infected by COVID-19? Mark all that apply. Avoiding shaking hands."
"Form 190 - COVID-19 Survey 1","Ext2","STAYHOME","Since March 2020, steps taken to reduce COVID-19 risk - staying home","Since March 2020, what steps have you taken to reduce your risk of being infected by COVID-19? Mark all that apply. Staying home."
